month,tx_type,gmv_usd,net_revenue_usd,take_rate
2024-01-01,bill_pay,33876.01,405.96,0.0120
2024-01-01,card_payment,28166.78,399.23,0.0142
2024-01-01,withdrawal,22647.18,259.65,0.0115
2024-02-01,bill_pay,154262.42,1706.13,0.0111
2024-02-01,card_payment,143187.07,1926.95,0.0135
2024-02-01,withdrawal,100497.95,1143.17,0.0114
2024-03-01,bill_pay,346398.95,3832.59,0.0111
2024-03-01,card_payment,294809.76,3920.93,0.0133
2024-03-01,withdrawal,229632.48,2539.94,0.0111
2024-04-01,bill_pay,516466.20,5687.53,0.0110
2024-04-01,card_payment,432452.94,5723.34,0.0132
2024-04-01,withdrawal,347583.79,3858.39,0.0111
2024-05-01,bill_pay,692625.05,7611.27,0.0110
2024-05-01,card_payment,588541.33,7782.74,0.0132
2024-05-01,withdrawal,444051.26,4849.66,0.0109
2024-06-01,bill_pay,776505.64,8487.54,0.0109
2024-06-01,card_payment,654662.28,8635.04,0.0132
2024-06-01,withdrawal,476483.19,5236.03,0.0110
2024-07-01,bill_pay,831909.47,9048.13,0.0109
2024-07-01,card_payment,699399.84,9212.35,0.0132
2024-07-01,withdrawal,522127.99,5733.21,0.0110
2024-08-01,bill_pay,832909.69,9140.96,0.0110
2024-08-01,card_payment,683356.28,8955.67,0.0131
2024-08-01,withdrawal,503058.90,5505.70,0.0109
2024-09-01,bill_pay,710154.88,7785.11,0.0110
2024-09-01,card_payment,601196.91,7867.42,0.0131
2024-09-01,withdrawal,435705.54,4751.20,0.0109
2024-10-01,bill_pay,648223.37,7028.59,0.0108
2024-10-01,card_payment,558573.81,7339.90,0.0131
2024-10-01,withdrawal,385667.69,4175.56,0.0108
2024-11-01,bill_pay,565368.18,6150.82,0.0109
2024-11-01,card_payment,489175.34,6402.13,0.0131
2024-11-01,withdrawal,371244.85,4015.56,0.0108
2024-12-01,bill_pay,564188.92,6075.69,0.0108
2024-12-01,card_payment,474087.13,6200.57,0.0131
2024-12-01,withdrawal,356545.90,3866.20,0.0108
2025-01-01,bill_pay,476912.89,5137.70,0.0108
2025-01-01,card_payment,391034.54,5072.58,0.0130
2025-01-01,withdrawal,307045.97,3313.07,0.0108
2025-02-01,bill_pay,325252.71,3502.10,0.0108
2025-02-01,card_payment,272932.24,3519.25,0.0129
2025-02-01,withdrawal,221085.30,2362.86,0.0107
2025-03-01,bill_pay,249815.87,2684.19,0.0107
2025-03-01,card_payment,212585.89,2731.33,0.0128
2025-03-01,withdrawal,161949.45,1737.47,0.0107
2025-04-01,bill_pay,152880.06,1614.44,0.0106
2025-04-01,card_payment,120973.47,1548.12,0.0128
2025-04-01,withdrawal,95453.11,1020.89,0.0107
2025-05-01,bill_pay,85445.62,916.48,0.0107
2025-05-01,card_payment,69509.37,891.40,0.0128
2025-05-01,withdrawal,54340.62,570.94,0.0105
2025-06-01,bill_pay,26911.76,280.79,0.0104
2025-06-01,card_payment,26278.58,317.98,0.0121
2025-06-01,withdrawal,17220.94,180.06,0.0105
